id|rank
01006FF01AEDC000|1
010046A01A8D2000|2
0100000000010000|3
01007EF00011E000|4
0100052012B02000|5
0100535012974000|6
010023800D64A000|7
010016101100A000|8
0100106016602000|9
01008DD013200000|10
0100633007D48000|11
01006D2016F24000|12
010050500C5F4000|13
010012101468C000|14
01006A800016E000|15
0100A4E00F670000|16
0100A3101B884000|17
0100981019D9E000|18
01007960049A0000|19
01003CE015180000|20
01002B30028F6000|21
0100152000022000|22
010004701504A000|23
0100FF500E34A000|24
0100F2C0115B6000|25
0100D2D009028000|26
0100C510166F0000|27
010082700F2D2800|28
01006C300E9F0000|29
010055D009F78000|30
010027400CDC6000|31
0100F59014E8C000|32
0100E9E00DBF4000|33
0100DA30189CA000|34
0100B7C00933A000|35
0100A73016576000|36
0100A3A00CC7E000|37
0100A2C00E916000|38
010083A014174000|39
01007BB00E760000|40
01007300020FA000|41
01006CD01A068000|42
01005CA01580E000|43
01004D1007926000|44
0100425015618000|45
01003FC01670C000|46
010028600EBDA000|47
010024000C852000|48
01000F201542E000|49
01000BF012920000|50
010008900BC5A000|51
0100EB500D92F005|52
0100D9A005ED706E|53
0100C18014DC0000|54
010093801237C000|55
010080B00AD66000|56
010062B01525C000|57
010061D00DB74000|58
010012301932A000|59
0100F8C0165E0000|60
0100E9A00CB30000|61
0100E65002BB8000|62
0100E3C016D4E000|63
0100DE501433A000|64
0100DA801624E000|65
0100C1700FB34000|66
0100BBF0122B4000|67
0100B3601926A000|68
01009A700A538000|69
010098F0172D4000|70
010089B00D09C000|71
010074F013262000|72
01005A001489A000|73
010057D0021E8000|74
010055201822E000|75
01004D300C5AE000|76
010032E00E6E2000|77
0100FC000AEF0000|78
0100EC9010259001|79
0100CFE00CE6E000|80
0100CA9002322000|81
0100A21007FFA000|82
01009B90006DC000|83
010095E018944000|84
01004890117B2000|85
010040801A4C8000|86
0100276009872000|87
0100F4901999A000|88
0100EC9010258000|89
0100EC5012BDE000|90
0100D4900E82C000|91
0100C1F0051B6000|92
0100BCF00E970000|93
0100A9B0187CA000|94
01009AA000FAA000|95
010088600C66E000|96
01007740160D4000|97
01006680164CE000|98
010053200B0E0000|99
01004DE013EDE000|100
